group,image,classifier,policy,block,deny_count,critical_total,suppressed_count
A,policy-gate-val/v03-text4shell:latest,rule,P7_severity_aware,False,0,2,0
A,policy-gate-val/v03-text4shell:latest,rule,p_gate,False,2,2,0
A,policy-gate-val/v03-text4shell:latest,rule,p_gate_with_exceptions,False,2,2,0
A,policy-gate-val/v03-text4shell:latest,agent,P1,True,2,2,0
A,policy-gate-val/v03-text4shell:latest,agent,P2,True,2,2,0
A,policy-gate-val/v03-text4shell:latest,agent,P3,False,0,2,0
A,policy-gate-val/v03-text4shell:latest,agent,P4_strict,False,0,2,0
A,policy-gate-val/v03-text4shell:latest,agent,P4_relaxed,False,0,2,0
A,policy-gate-val/v03-text4shell:latest,agent,P5_layer,False,0,2,0
A,policy-gate-val/v03-text4shell:latest,agent,P7_severity_aware,False,0,2,0
A,policy-gate-val/v03-text4shell:latest,agent,p_gate,False,2,2,0
A,policy-gate-val/v03-text4shell:latest,agent,p_gate_with_exceptions,False,2,2,0
A,policy-gate-val/v04-spring4shell:latest,rule,P1,True,6,6,0
A,policy-gate-val/v04-spring4shell:latest,rule,P2,True,6,6,0
A,policy-gate-val/v04-spring4shell:latest,rule,P3,False,0,6,0
A,policy-gate-val/v04-spring4shell:latest,rule,P4_strict,False,0,6,0
A,policy-gate-val/v04-spring4shell:latest,rule,P4_relaxed,False,0,6,0
A,policy-gate-val/v04-spring4shell:latest,rule,P5_layer,False,0,6,0
A,policy-gate-val/v04-spring4shell:latest,rule,P7_severity_aware,True,4,6,0
A,policy-gate-val/v04-spring4shell:latest,rule,p_gate,True,4,6,0
A,policy-gate-val/v04-spring4shell:latest,rule,p_gate_with_exceptions,True,4,6,0
A,policy-gate-val/v04-spring4shell:latest,agent,P1,True,6,6,0
A,policy-gate-val/v04-spring4shell:latest,agent,P2,True,6,6,0
A,policy-gate-val/v04-spring4shell:latest,agent,P3,False,0,6,0
A,policy-gate-val/v04-spring4shell:latest,agent,P4_strict,False,0,6,0
A,policy-gate-val/v04-spring4shell:latest,agent,P4_relaxed,False,0,6,0
A,policy-gate-val/v04-spring4shell:latest,agent,P5_layer,False,0,6,0
A,policy-gate-val/v04-spring4shell:latest,agent,P7_severity_aware,True,4,6,0
A,policy-gate-val/v04-spring4shell:latest,agent,p_gate,True,4,6,0
A,policy-gate-val/v04-spring4shell:latest,agent,p_gate_with_exceptions,True,4,6,0
A,webgoat/webgoat-8.0,rule,P1,True,107,107,0
A,webgoat/webgoat-8.0,rule,P2,True,75,107,0
A,webgoat/webgoat-8.0,rule,P3,True,40,107,0
A,webgoat/webgoat-8.0,rule,P4_strict,False,0,107,0
A,webgoat/webgoat-8.0,rule,P4_relaxed,True,11,107,0
A,webgoat/webgoat-8.0,rule,P5_layer,True,11,107,0
A,webgoat/webgoat-8.0,rule,P7_severity_aware,True,26,107,0
A,webgoat/webgoat-8.0,rule,p_gate,True,160,107,0
A,webgoat/webgoat-8.0,rule,p_gate_with_exceptions,True,160,107,0
A,webgoat/webgoat-8.0,agent,P1,True,107,107,0
A,webgoat/webgoat-8.0,agent,P2,True,75,107,0
A,webgoat/webgoat-8.0,agent,P3,True,40,107,0
A,webgoat/webgoat-8.0,agent,P4_strict,False,0,107,0
A,webgoat/webgoat-8.0,agent,P4_relaxed,True,11,107,0
A,webgoat/webgoat-8.0,agent,P5_layer,True,11,107,0
A,webgoat/webgoat-8.0,agent,P7_severity_aware,True,26,107,0
A,webgoat/webgoat-8.0,agent,p_gate,True,160,107,0
A,webgoat/webgoat-8.0,agent,p_gate_with_exceptions,True,160,107,0
A,citizenstig/nowasp:latest,rule,P1,False,0,0,0
A,citizenstig/nowasp:latest,rule,P2,False,0,0,0
A,citizenstig/nowasp:latest,rule,P3,False,0,0,0
A,citizenstig/nowasp:latest,rule,P4_strict,False,0,0,0
A,citizenstig/nowasp:latest,rule,P4_relaxed,False,0,0,0
A,citizenstig/nowasp:latest,rule,P5_layer,False,0,0,0
A,citizenstig/nowasp:latest,rule,P7_severity_aware,False,0,0,0
A,citizenstig/nowasp:latest,rule,p_gate,False,6,0,0
A,citizenstig/nowasp:latest,rule,p_gate_with_exceptions,False,6,0,0
A,citizenstig/nowasp:latest,agent,P1,False,0,0,0
A,citizenstig/nowasp:latest,agent,P2,False,0,0,0
A,citizenstig/nowasp:latest,agent,P3,False,0,0,0
A,citizenstig/nowasp:latest,agent,P4_strict,False,0,0,0
A,citizenstig/nowasp:latest,agent,P4_relaxed,False,0,0,0
A,citizenstig/nowasp:latest,agent,P5_layer,False,0,0,0
A,citizenstig/nowasp:latest,agent,P7_severity_aware,False,0,0,0
A,citizenstig/nowasp:latest,agent,p_gate,False,6,0,0
A,citizenstig/nowasp:latest,agent,p_gate_with_exceptions,False,6,0,0
B,golang:1.16-alpine,rule,P1,True,9,9,0
B,golang:1.16-alpine,rule,P2,True,5,9,0
B,golang:1.16-alpine,rule,P3,True,1,9,0
B,golang:1.16-alpine,rule,P4_strict,False,0,9,0
B,golang:1.16-alpine,rule,P4_relaxed,True,1,9,0
B,golang:1.16-alpine,rule,P5_layer,True,1,9,0
B,golang:1.16-alpine,rule,P7_severity_aware,True,7,9,0
B,golang:1.16-alpine,rule,p_gate,False,19,9,0
B,golang:1.16-alpine,rule,p_gate_with_exceptions,False,19,9,0
B,golang:1.16-alpine,agent,P1,True,9,9,0
B,golang:1.16-alpine,agent,P2,True,5,9,0
B,golang:1.16-alpine,agent,P3,True,1,9,0
B,golang:1.16-alpine,agent,P4_strict,False,0,9,0
B,golang:1.16-alpine,agent,P4_relaxed,True,1,9,0
B,golang:1.16-alpine,agent,P5_layer,True,1,9,0
B,golang:1.16-alpine,agent,P7_severity_aware,True,7,9,0
B,golang:1.16-alpine,agent,p_gate,False,19,9,0
B,golang:1.16-alpine,agent,p_gate_with_exceptions,False,19,9,0
B,ruby:2.5-slim,rule,P1,True,30,30,0
B,ruby:2.5-slim,rule,P2,True,27,30,0
B,ruby:2.5-slim,rule,P3,True,28,30,0
B,ruby:2.5-slim,rule,P4_strict,False,0,30,0
B,ruby:2.5-slim,rule,P4_relaxed,True,12,30,0
B,ruby:2.5-slim,rule,P5_layer,True,12,30,0
B,ruby:2.5-slim,rule,P7_severity_aware,True,33,30,0
B,ruby:2.5-slim,rule,p_gate,True,119,30,0
B,ruby:2.5-slim,rule,p_gate_with_exceptions,True,119,30,0
B,ruby:2.5-slim,agent,P1,True,30,30,0
B,ruby:2.5-slim,agent,P2,True,27,30,0
B,ruby:2.5-slim,agent,P3,True,28,30,0
B,ruby:2.5-slim,agent,P4_strict,False,0,30,0
B,ruby:2.5-slim,agent,P4_relaxed,True,12,30,0
B,ruby:2.5-slim,agent,P5_layer,True,12,30,0
B,ruby:2.5-slim,agent,P7_severity_aware,True,33,30,0
B,ruby:2.5-slim,agent,p_gate,True,119,30,0
B,ruby:2.5-slim,agent,p_gate_with_exceptions,True,119,30,0
B,eclipse-temurin:8-jre,rule,P1,True,1,1,0
B,eclipse-temurin:8-jre,rule,P2,True,1,1,0
B,eclipse-temurin:8-jre,rule,P3,False,0,1,0
B,eclipse-temurin:8-jre,rule,P4_strict,False,0,1,0
B,eclipse-temurin:8-jre,rule,P4_relaxed,False,0,1,0
B,eclipse-temurin:8-jre,rule,P5_layer,False,0,1,0
B,eclipse-temurin:8-jre,rule,P7_severity_aware,False,0,1,0
B,eclipse-temurin:8-jre,rule,p_gate,False,1,1,0
B,eclipse-temurin:8-jre,rule,p_gate_with_exceptions,False,1,1,0
B,eclipse-temurin:8-jre,agent,P1,True,1,1,0
B,eclipse-temurin:8-jre,agent,P2,True,1,1,0
B,eclipse-temurin:8-jre,agent,P3,False,0,1,0
B,eclipse-temurin:8-jre,agent,P4_strict,False,0,1,0
B,eclipse-temurin:8-jre,agent,P4_relaxed,False,0,1,0
B,eclipse-temurin:8-jre,agent,P5_layer,False,0,1,0
B,eclipse-temurin:8-jre,agent,P7_severity_aware,False,0,1,0
B,eclipse-temurin:8-jre,agent,p_gate,False,1,1,0
B,eclipse-temurin:8-jre,agent,p_gate_with_exceptions,False,1,1,0
B,mcr.microsoft.com/dotnet/runtime:3.1,rule,P1,True,5,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,rule,P2,True,3,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,rule,P3,True,4,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,rule,P4_strict,False,0,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,rule,P4_relaxed,True,3,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,rule,P5_layer,True,3,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,rule,P7_severity_aware,True,8,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,rule,p_gate,False,42,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,rule,p_gate_with_exceptions,False,42,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,agent,P1,True,5,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,agent,P2,True,3,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,agent,P3,True,4,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,agent,P4_strict,False,0,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,agent,P4_relaxed,True,3,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,agent,P5_layer,True,3,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,agent,P7_severity_aware,True,8,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,agent,p_gate,False,42,5,0
B,mcr.microsoft.com/dotnet/runtime:3.1,agent,p_gate_with_exceptions,False,42,5,0
B,php:7.4-apache,rule,P1,True,96,96,0
B,php:7.4-apache,rule,P2,True,74,96,0
B,php:7.4-apache,rule,P3,True,82,96,0
B,php:7.4-apache,rule,P4_strict,True,4,96,0
B,php:7.4-apache,rule,P4_relaxed,True,17,96,0
B,php:7.4-apache,rule,P5_layer,True,17,96,0
B,php:7.4-apache,rule,P7_severity_aware,True,44,96,0
B,php:7.4-apache,rule,p_gate,True,372,96,0
B,php:7.4-apache,rule,p_gate_with_exceptions,True,372,96,0
B,php:7.4-apache,agent,P1,True,96,96,0
B,php:7.4-apache,agent,P2,True,74,96,0
B,php:7.4-apache,agent,P3,True,82,96,0
B,php:7.4-apache,agent,P4_strict,True,4,96,0
B,php:7.4-apache,agent,P4_relaxed,True,17,96,0
B,php:7.4-apache,agent,P5_layer,True,17,96,0
B,php:7.4-apache,agent,P7_severity_aware,True,44,96,0
B,php:7.4-apache,agent,p_gate,True,368,96,0
B,php:7.4-apache,agent,p_gate_with_exceptions,True,368,96,0
B,rust:1.56-slim,rule,P1,True,41,41,0
B,rust:1.56-slim,rule,P2,True,32,41,0
B,rust:1.56-slim,rule,P3,True,33,41,0
B,rust:1.56-slim,rule,P4_strict,False,0,41,0
B,rust:1.56-slim,rule,P4_relaxed,True,7,41,0
B,rust:1.56-slim,rule,P5_layer,True,7,41,0
B,rust:1.56-slim,rule,P7_severity_aware,True,28,41,0
B,rust:1.56-slim,rule,p_gate,False,180,41,0
B,rust:1.56-slim,rule,p_gate_with_exceptions,False,180,41,0
B,rust:1.56-slim,agent,P1,True,41,41,0
B,rust:1.56-slim,agent,P2,True,32,41,0
B,rust:1.56-slim,agent,P3,True,33,41,0
B,rust:1.56-slim,agent,P4_strict,False,0,41,0
B,rust:1.56-slim,agent,P4_relaxed,True,7,41,0
B,rust:1.56-slim,agent,P5_layer,True,7,41,0
B,rust:1.56-slim,agent,P7_severity_aware,True,28,41,0
B,rust:1.56-slim,agent,p_gate,False,180,41,0
B,rust:1.56-slim,agent,p_gate_with_exceptions,False,180,41,0
B,node:12,rule,P1,True,72,72,0
B,node:12,rule,P2,True,11,72,0
B,node:12,rule,P3,True,29,72,0
B,node:12,rule,P4_strict,False,0,72,0
B,node:12,rule,P4_relaxed,True,7,72,0
B,node:12,rule,P5_layer,True,7,72,0
B,node:12,rule,P7_severity_aware,True,7,72,0
B,node:12,rule,p_gate,True,117,72,0
B,node:12,rule,p_gate_with_exceptions,True,117,72,0
B,node:12,agent,P1,True,72,72,0
B,node:12,agent,P2,True,11,72,0
B,node:12,agent,P3,True,29,72,0
B,node:12,agent,P4_strict,False,0,72,0
B,node:12,agent,P4_relaxed,True,7,72,0
B,node:12,agent,P5_layer,True,7,72,0
B,node:12,agent,P7_severity_aware,True,7,72,0
B,node:12,agent,p_gate,True,116,72,0
B,node:12,agent,p_gate_with_exceptions,True,116,72,0
B,python:2.7,rule,P1,True,184,184,0
B,python:2.7,rule,P2,True,178,184,0
B,python:2.7,rule,P3,True,176,184,0
B,python:2.7,rule,P4_strict,False,0,184,0
B,python:2.7,rule,P4_relaxed,True,85,184,0
B,python:2.7,rule,P5_layer,True,85,184,0
B,python:2.7,rule,P7_severity_aware,True,135,184,0
B,python:2.7,rule,p_gate,True,1303,184,0
B,python:2.7,rule,p_gate_with_exceptions,True,1303,184,0
B,python:2.7,agent,P1,True,184,184,0
B,python:2.7,agent,P2,True,178,184,0
B,python:2.7,agent,P3,True,176,184,0
B,python:2.7,agent,P4_strict,False,0,184,0
B,python:2.7,agent,P4_relaxed,True,85,184,0
B,python:2.7,agent,P5_layer,True,85,184,0
B,python:2.7,agent,P7_severity_aware,True,135,184,0
B,python:2.7,agent,p_gate,True,1302,184,0
B,python:2.7,agent,p_gate_with_exceptions,True,1302,184,0
C,golang:1.23-alpine,rule,P1,True,8,8,0
C,golang:1.23-alpine,rule,P2,True,8,8,0
C,golang:1.23-alpine,rule,P3,True,5,8,0
C,golang:1.23-alpine,rule,P4_strict,False,0,8,0
C,golang:1.23-alpine,rule,P4_relaxed,False,0,8,0
C,golang:1.23-alpine,rule,P5_layer,False,0,8,0
C,golang:1.23-alpine,rule,P7_severity_aware,False,0,8,0
C,golang:1.23-alpine,rule,p_gate,False,63,8,0
C,golang:1.23-alpine,rule,p_gate_with_exceptions,False,63,8,0
C,golang:1.23-alpine,agent,P1,True,8,8,0
C,golang:1.23-alpine,agent,P2,True,8,8,0
C,golang:1.23-alpine,agent,P3,True,5,8,0
C,golang:1.23-alpine,agent,P4_strict,False,0,8,0
C,golang:1.23-alpine,agent,P4_relaxed,False,0,8,0
C,golang:1.23-alpine,agent,P5_layer,False,0,8,0
C,golang:1.23-alpine,agent,P7_severity_aware,False,0,8,0
C,golang:1.23-alpine,agent,p_gate,False,61,8,0
C,golang:1.23-alpine,agent,p_gate_with_exceptions,False,61,8,0
C,ruby:3.3-slim,rule,P1,True,7,7,0
C,ruby:3.3-slim,rule,P2,True,2,7,0
C,ruby:3.3-slim,rule,P3,True,7,7,0
C,ruby:3.3-slim,rule,P4_strict,False,0,7,0
C,ruby:3.3-slim,rule,P4_relaxed,False,0,7,0
C,ruby:3.3-slim,rule,P5_layer,False,0,7,0
C,ruby:3.3-slim,rule,P7_severity_aware,False,0,7,0
C,ruby:3.3-slim,rule,p_gate,False,10,7,0
C,ruby:3.3-slim,rule,p_gate_with_exceptions,False,10,7,0
C,ruby:3.3-slim,agent,P1,True,7,7,0
C,ruby:3.3-slim,agent,P2,True,2,7,0
C,ruby:3.3-slim,agent,P3,True,7,7,0
C,ruby:3.3-slim,agent,P4_strict,False,0,7,0
C,ruby:3.3-slim,agent,P4_relaxed,False,0,7,0
C,ruby:3.3-slim,agent,P5_layer,False,0,7,0
C,ruby:3.3-slim,agent,P7_severity_aware,False,0,7,0
C,ruby:3.3-slim,agent,p_gate,False,10,7,0
C,ruby:3.3-slim,agent,p_gate_with_exceptions,False,10,7,0
C,eclipse-temurin:21-jre,rule,P1,True,1,1,0
C,eclipse-temurin:21-jre,rule,P2,True,1,1,0
C,eclipse-temurin:21-jre,rule,P3,False,0,1,0
C,eclipse-temurin:21-jre,rule,P4_strict,False,0,1,0
C,eclipse-temurin:21-jre,rule,P4_relaxed,False,0,1,0
C,eclipse-temurin:21-jre,rule,P5_layer,False,0,1,0
C,eclipse-temurin:21-jre,rule,P7_severity_aware,False,0,1,0
C,eclipse-temurin:21-jre,rule,p_gate,False,1,1,0
C,eclipse-temurin:21-jre,rule,p_gate_with_exceptions,False,1,1,0
C,eclipse-temurin:21-jre,agent,P1,True,1,1,0
C,eclipse-temurin:21-jre,agent,P2,True,1,1,0
C,eclipse-temurin:21-jre,agent,P3,False,0,1,0
C,eclipse-temurin:21-jre,agent,P4_strict,False,0,1,0
C,eclipse-temurin:21-jre,agent,P4_relaxed,False,0,1,0
C,eclipse-temurin:21-jre,agent,P5_layer,False,0,1,0
C,eclipse-temurin:21-jre,agent,P7_severity_aware,False,0,1,0
C,eclipse-temurin:21-jre,agent,p_gate,False,1,1,0
C,eclipse-temurin:21-jre,agent,p_gate_with_exceptions,False,1,1,0
C,mcr.microsoft.com/dotnet/runtime:8.0,rule,P1,True,6,6,0
C,mcr.microsoft.com/dotnet/runtime:8.0,rule,P2,False,0,6,0
C,mcr.microsoft.com/dotnet/runtime:8.0,rule,P3,True,5,6,0
C,mcr.microsoft.com/dotnet/runtime:8.0,rule,P4_strict,False,0,6,0
C,mcr.microsoft.com/dotnet/runtime:8.0,rule,P4_relaxed,False,0,6,0
C,mcr.microsoft.com/dotnet/runtime:8.0,rule,P5_layer,False,0,6,0
